headline,url
"Unvaccinated, Homebound and Now Hospitalized With Covid in New York City",https://khn.org/news/article/unvaccinated-homebound-and-now-hospitalized-with-covid-in-new-york-city/
Recibir la ayuda de FEMA para funerales de covid requiere tenacidad… y ayuda,https://khn.org/news/article/recibir-la-ayuda-de-fema-para-funerales-de-covid-requiere-tenacidad-y-ayuda/
Collecting FEMA Funeral Money Takes Some Tenacity — And Help,https://khn.org/news/article/collecting-fema-funeral-money-takes-some-tenacity-and-help/
"For Toddlers, Pandemic Shapes Development During Formative Years",https://khn.org/news/article/for-toddlers-pandemic-shapes-development-during-formative-years/
Being Vaccinated Doesn’t Mean You Must Go Maskless. Here’s Why.,https://khn.org/news/article/being-vaccinated-doesnt-mean-you-must-go-maskless-heres-why/
Violent Colorado Arrest Puts Spotlight on How Police Treat Disabled People,https://khn.org/news/article/violent-colorado-arrest-puts-spotlight-on-how-police-treat-disabled-people/
"En crisis de salud mental, el 911 ahora no siempre responde con policías",https://khn.org/news/article/en-crisis-de-salud-mental-el-911-ahora-no-siempre-responde-con-policias/
"‘An Arm and a Leg’: When Your Insurance Company Says No, How to Ask for a Yes",https://khn.org/news/article/an-arm-and-a-leg-when-your-insurance-company-says-no-how-to-ask-for-a-yes/
"In Alleged Health Care ‘Money Grab,’ Nation’s Largest Hospital Chain Cashes In on Trauma Centers",https://khn.org/news/article/in-alleged-health-care-money-grab-nations-largest-hospital-chain-cashes-in-on-trauma-centers/
"In Mental Health Crises, a 911 Call Now Brings a Mixed Team of Helpers — And Maybe No Cops",https://khn.org/news/article/in-mental-health-crises-a-911-call-now-brings-a-mixed-team-of-helpers-and-maybe-no-cops/
"Journalists Discuss New Alzheimer’s Drug, Women’s Alcohol Use, the Hip-Hop and Opioids Link",https://khn.org/news/article/journalists-discuss-new-alzheimers-drug-womens-alcohol-use-the-hip-hop-and-opioids-link/
"Mientras Colorado avanza una ley que garantiza su acceso a atención médica, trabajadores agrícolas recuerdan el maltrato que sufren",https://khn.org/news/article/mientras-colorado-avanza-una-ley-que-garantiza-su-acceso-a-atencion-medica-trabajadores-agricolas-recuerdan-el-maltrato-que-sufren/
Farmworkers Recall Mistreatment as Colorado Aims to Guarantee Medical Access,https://khn.org/news/article/colorado-bill-aims-to-give-farmworkers-easier-access-to-medical-care/
Doctor on Call? Lawmakers Debate How Much to Pay for Phone Appointments,https://khn.org/news/article/doctor-on-call-lawmakers-debate-how-much-to-pay-for-phone-appointments/
"Biden Kept His Promise to Increase Covid-Testing Capacity, Even as Demand for Testing Drops",https://khn.org/news/article/biden-kept-his-promise-to-increase-covid-testing-capacity-even-as-demand-for-testing-drops/
Labor Department Issues Emergency Rules to Protect Health Care Workers From Covid,https://khn.org/news/article/labor-department-osha-emergency-rules-protect-health-care-workers-from-covid/
KHN’s ‘What the Health?’: Our 200th Episode!,https://khn.org/news/article/podcast-khn-what-the-health-episode-200-june-10-2021/
Lawmakers Pressure Newsom to ‘Step Up’ on Racism as a Public Health Issue,https://khn.org/news/article/lawmakers-pressure-newsom-to-step-up-on-racism-as-a-public-health-issue/
Can a Subscription Model Fix Primary Care in the US?,https://khn.org/news/article/can-a-subscription-model-fix-primary-care-in-the-us/
"Change to Gilead Assistance Program Threatens PrEP Access, HIV Advocates Say",https://khn.org/news/article/change-to-gilead-assistance-program-threatens-prep-access-hiv-advocates-say/
Lawmakers Pressure Newsom to ‘Step Up’ on Racism as a Public Health Issue,https://khn.org/news/article/lawmakers-pressure-newsom-to-step-up-on-racism-as-a-public-health-issue/
"Hoy, las mujeres toman tanto como los hombres, pero sufren las consecuencias antes",https://khn.org/news/article/hoy-las-mujeres-toman-tanto-como-los-hombres-pero-sufren-las-consecuencias-antes/
Women Now Drink as Much as Men — And Are Prone to Sickness Sooner,https://khn.org/news/article/women-now-drink-as-much-as-men-and-are-prone-to-sickness-sooner/
An Anti-Vaccine Film Targeted to Black Americans Spreads False Information,https://khn.org/news/article/an-anti-vaccine-film-targeted-to-black-americans-spreads-false-information/
Zooming Into the Statehouse: Nursing Home Residents Use New Digital Skills to Push for Changes,https://khn.org/news/article/zooming-into-the-statehouse-nursing-home-residents-use-new-digital-skills-to-push-for-changes/
Unused Johnson & Johnson Covid Doses Are Piling Up as FDA Waits to See if Shelf Life Can Be Extended,https://khn.org/news/article/unused-johnson-johnson-covid-vaccine-doses-expiration-backlog/
Kidney Experts Say It’s Time to Remove Race From Medical Algorithms. Doing So Is Complicated.,https://khn.org/news/article/black-kidney-patients-racial-health-disparities/
Boeing Tested Air Purifiers Like Those Widely Used in Schools. It Decided Not to Use Them in Planes.,https://khn.org/news/article/boeing-tested-air-purifiers-like-those-widely-used-in-schools-it-decided-not-to-use-them-in-planes/
"With Roots in Civil Rights, Community Health Centers Push for Equity in the Pandemic",https://khn.org/news/article/with-roots-in-civil-rights-community-health-centers-push-for-equity-in-the-pandemic/
"Trying to Avoid Racist Health Care, Black Women Seek Out Black Obstetricians",https://khn.org/news/article/black-obstetricians-racism-health-care/
"With Restrictions Tightening Elsewhere, California Moves to Make Abortion Cheaper",https://khn.org/news/article/abortion-policy-california-legislation-easier-cheaper-to-terminate-pregnancy/
"Covid Was a Tipping Point for Telehealth. If Some Have Their Way, Virtual Visits Are Here to Stay.",https://khn.org/news/article/covid-was-a-tipping-point-for-telehealth-if-some-have-their-way-virtual-visits-are-here-to-stay/
Montana Med School Clash Revives For-Profit Vs. Nonprofit Flap,https://khn.org/news/article/montana-med-school-clash-revives-for-profit-vs-nonprofit-flap/
"In Missouri and Other States, Flawed Data Makes It Hard to Track Vaccine Equity",https://khn.org/news/article/in-missouri-and-other-states-flawed-data-makes-it-hard-to-track-vaccine-equity/
Analysis: Mounting Pressure on China About Covid ‘Lab Leak’ Could Backfire,https://khn.org/news/article/analysis-mounting-pressure-on-china-about-covid-lab-leak-could-backfire/
"FDA Weighs Approval of a Lucrative Alzheimer’s Drug, but Benefits Are Iffy",https://khn.org/news/article/fda-weighs-approval-of-a-lucrative-alzheimers-drug-but-benefits-are-iffy/
KHN’s ‘What the Health?’: The Drug Price Dilemma,https://khn.org/news/article/podcast-khn-what-the-health-199-drug-price-dilemma-june-3-2021/
Many New Moms Get Kicked Off Medicaid 2 Months After Giving Birth. Illinois Will Change That.,https://khn.org/news/article/maternal-deaths-new-moms-kicked-off-medicaid-2-months-after-giving-birth-illinois-safeguards/
Newsom Wants to Spend Millions on the Health of Low-Income Mothers and Their Babies,https://khn.org/news/article/newsom-wants-to-spend-millions-on-the-health-of-low-income-mothers-and-their-babies/
Expanding Insurance Coverage Is Top Priority for New Medicare-Medicaid Chief,https://khn.org/news/article/chiquita-brooks-lasure-cms-chief-interview-medicare-medicaid-expanding-insurance-coverage/
The ‘Grief Pandemic’ Will Torment Americans for Years,https://khn.org/news/article/covid-grief-pandemic-will-torment-americans-for-years/
"Readers and Tweeters React to Racism, Inequities in Health Care",https://khn.org/news/article/letters-to-the-editor-may-2021-readers-and-tweeters-react-to-racism-inequities-in-health-care/
Doctors Tell How to Make the Most of Your Telehealth Visits,https://khn.org/news/article/telehealth-visits-doctor-advice-benefits/
"From Racial Justice to Dirty Air, California’s New AG Plots a Progressive Health Care Agenda",https://khn.org/news/article/from-racial-justice-to-dirty-air-californias-new-ag-plots-a-progressive-health-care-agenda/
Little-Known Illnesses Turning Up in Covid Long-Haulers,https://khn.org/news/article/covid-long-haul-illness-pots-autonomic-disorder/
Behind The Byline: Finding a ‘Superstar’ to Interview,https://khn.org/news/article/behind-the-byline-finding-a-superstar-to-interview/
Mississippi’s Black Communities Turned Around Their Covid Rates. Next Up: Make Strides on Vaccines.,https://khn.org/news/article/mississippi-black-communities-improved-covid-rates-vaccination-disparities/
